round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_1_ans,round_1_conf,round_2_ans,round_2_conf,round_3_ans,round_3_conf,round_4_ans,round_4_conf,round_5_ans,round_5_conf,round_6_ans,round_6_conf,round_7_ans,round_7_conf,round_8_ans,round_8_conf
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(99.99))","(1, np.float64(99.99))","(1, np.float64(99.89))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,99.99,1.0,99.99,1.0,99.89,1.0,100.0,1.0,100.0
1,"(1, np.float64(99.92))","(1, np.float64(94.9))","(0, np.float64(95.35))","(1, np.float64(99.92))","(1, np.float64(95.34))","(1, np.float64(95.8))","(1, np.float64(95.8))","(1, np.float64(98.0))",1.0,99.92,1.0,94.9,0.0,95.35,1.0,99.92,1.0,95.34,1.0,95.8,1.0,95.8,1.0,98.0
1,"(1, np.float64(100.0))","(1, np.float64(95.31))","(1, np.float64(99.34))","(1, np.float64(96.13))","(1, np.float64(75.91))","(1, np.float64(77.77))","(1, np.float64(81.6))","(1, np.float64(76.85))",1.0,100.0,1.0,95.31,1.0,99.34,1.0,96.13,1.0,75.91,1.0,77.77,1.0,81.6,1.0,76.85
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(99.98))","(1, np.float64(99.91))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(99.95))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,99.98,1.0,99.91,1.0,100.0,1.0,100.0,1.0,99.95,1.0,100.0,1.0,100.0
1,"(1, np.float64(99.99))","(1, np.float64(100.0))","(1, np.float64(99.99))","(1, np.float64(99.99))","(1, np.float64(99.98))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(84.32))",1.0,99.99,1.0,100.0,1.0,99.99,1.0,99.99,1.0,99.98,1.0,100.0,1.0,100.0,1.0,84.32
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(99.8))","(1, np.float64(99.84))","(1, np.float64(99.63))","(1, np.float64(98.23))","(1, np.float64(92.4))","(1, np.float64(98.6))","(1, np.float64(99.97))","(1, np.float64(99.23))",1.0,99.8,1.0,99.84,1.0,99.63,1.0,98.23,1.0,92.4,1.0,98.6,1.0,99.97,1.0,99.23
1,"(1, np.float64(99.4))","(1, np.float64(99.72))","(1, np.float64(94.89))","(0, np.float64(99.71))","(1, np.float64(99.98))","(1, np.float64(95.37))","(1, np.float64(98.41))","(1, np.float64(96.2))",1.0,99.4,1.0,99.72,1.0,94.89,0.0,99.71,1.0,99.98,1.0,95.37,1.0,98.41,1.0,96.2
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(84.3))","(1, np.float64(84.36))","(1, np.float64(76.66))","(1, np.float64(78.26))","(1, np.float64(82.0))","(1, np.float64(83.03))","(1, np.float64(81.33))",1.0,100.0,1.0,84.3,1.0,84.36,1.0,76.66,1.0,78.26,1.0,82.0,1.0,83.03,1.0,81.33
1,"(1, np.float64(98.49))","(0, np.float64(96.6))","(1, np.float64(96.68))","(0, np.float64(88.96))","(0, np.float64(94.66))","(0, np.float64(97.49))","(1, np.float64(93.33))","(0, np.float64(91.89))",1.0,98.49,0.0,96.6,1.0,96.68,0.0,88.96,0.0,94.66,0.0,97.49,1.0,93.33,0.0,91.89
1,"(1, np.float64(100.0))","(1, np.float64(99.99))","(1, np.float64(99.99))","(1, np.float64(99.83))","(1, np.float64(99.18))","(1, np.float64(98.93))","(1, np.float64(99.17))","(1, np.float64(99.28))",1.0,100.0,1.0,99.99,1.0,99.99,1.0,99.83,1.0,99.18,1.0,98.93,1.0,99.17,1.0,99.28
1,"(1, np.float64(100.0))","(1, np.float64(79.44))","(1, np.float64(80.41))","(1, np.float64(84.47))","(1, np.float64(78.87))","(1, np.float64(87.02))","(1, np.float64(89.61))","(1, np.float64(77.74))",1.0,100.0,1.0,79.44,1.0,80.41,1.0,84.47,1.0,78.87,1.0,87.02,1.0,89.61,1.0,77.74
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(99.99))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,99.99
1,"(1, np.float64(99.94))","(1, np.float64(99.96))","(1, np.float64(99.83))","(1, np.float64(96.12))","(1, np.float64(97.42))","(1, np.float64(98.82))","(1, np.float64(99.88))","(1, np.float64(99.16))",1.0,99.94,1.0,99.96,1.0,99.83,1.0,96.12,1.0,97.42,1.0,98.82,1.0,99.88,1.0,99.16
1,"(1, np.float64(100.0))","(1, np.float64(99.33))","(1, np.float64(99.78))","(1, np.float64(99.47))","(1, np.float64(98.17))","(1, np.float64(99.39))","(1, np.float64(99.94))","(1, np.float64(99.55))",1.0,100.0,1.0,99.33,1.0,99.78,1.0,99.47,1.0,98.17,1.0,99.39,1.0,99.94,1.0,99.55
1,"(1, np.float64(99.98))","(1, np.float64(99.97))","(1, np.float64(83.87))","(1, np.float64(83.29))","(1, np.float64(87.56))","(1, np.float64(74.88))","(1, np.float64(80.59))","(1, np.float64(85.5))",1.0,99.98,1.0,99.97,1.0,83.87,1.0,83.29,1.0,87.56,1.0,74.88,1.0,80.59,1.0,85.5
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(99.99))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,99.99,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(99.78))","(1, np.float64(99.95))","(1, np.float64(99.92))","(0, np.float64(94.8))","(1, np.float64(99.99))","(1, np.float64(99.98))","(1, np.float64(100.0))","(1, np.float64(99.99))",1.0,99.78,1.0,99.95,1.0,99.92,0.0,94.8,1.0,99.99,1.0,99.98,1.0,100.0,1.0,99.99
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(99.93))","(1, np.float64(99.83))","(1, np.float64(99.48))","(0, np.float64(91.47))","(1, np.float64(99.29))","(1, np.float64(99.97))","(1, np.float64(100.0))","(1, np.float64(99.98))",1.0,99.93,1.0,99.83,1.0,99.48,0.0,91.47,1.0,99.29,1.0,99.97,1.0,100.0,1.0,99.98
1,"(1, np.float64(99.99))","(1, np.float64(99.79))","(1, np.float64(98.2))","(1, np.float64(98.55))","(1, np.float64(98.61))","(1, np.float64(98.45))","(1, np.float64(99.88))","(1, np.float64(98.36))",1.0,99.99,1.0,99.79,1.0,98.2,1.0,98.55,1.0,98.61,1.0,98.45,1.0,99.88,1.0,98.36
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(81.49))","(1, np.float64(81.01))","(1, np.float64(83.8))","(1, np.float64(83.7))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,81.49,1.0,81.01,1.0,83.8,1.0,83.7
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(83.34))","(1, np.float64(79.74))","(1, np.float64(81.28))","(1, np.float64(79.68))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,83.34,1.0,79.74,1.0,81.28,1.0,79.68
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(99.98))","(1, np.float64(100.0))","(1, np.float64(99.83))","(1, np.float64(99.99))","(1, np.float64(99.99))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,99.98,1.0,100.0,1.0,99.83,1.0,99.99,1.0,99.99
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(85.0))","(1, np.float64(93.9))","(1, np.float64(95.9))","(1, np.float64(84.8))","(1, np.float64(83.97))","(1, np.float64(81.65))",1.0,100.0,1.0,100.0,1.0,85.0,1.0,93.9,1.0,95.9,1.0,84.8,1.0,83.97,1.0,81.65
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(99.97))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,99.97,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(98.95))","(1, np.float64(99.43))","(1, np.float64(99.8))","(1, np.float64(97.29))","(1, np.float64(94.74))","(1, np.float64(99.36))","(1, np.float64(96.64))",1.0,100.0,1.0,98.95,1.0,99.43,1.0,99.8,1.0,97.29,1.0,94.74,1.0,99.36,1.0,96.64
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(80.94))","(1, np.float64(85.78))","(1, np.float64(80.46))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,80.94,1.0,85.78,1.0,80.46
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(99.99))","(1, np.float64(99.98))","(1, np.float64(99.96))","(1, np.float64(99.9))","(1, np.float64(99.99))","(1, np.float64(100.0))","(1, np.float64(99.99))",1.0,100.0,1.0,99.99,1.0,99.98,1.0,99.96,1.0,99.9,1.0,99.99,1.0,100.0,1.0,99.99
